id,img_path,overview,cat1,cat2,cat3
TRAIN_00000,./image/train/TRAIN_00000.jpg,"소안항은 조용한 섬으로 인근해안이 청정해역으로 일찍이 김 양식을 해서 높은 소득을 올리고 있으며 바다낚시터로도 유명하다. 항 주변에 설치된 양식장들은 섬사람들의 부지런한 생활상을 고스 란히 담고 있으며 일몰 때 섬의 정경은 바다의 아름다움을 그대로 품고 있는 듯하다. 또한, 섬에는 각시여 전설, 도둑바위 등의 설화가 전해 내려오고 있으며, 매년 정월 풍어제 풍속이 이어지고 있다.<br>",자연,자연관광지,항구/포구
TRAIN_00001,./image/train/TRAIN_00001.jpg,"경기도 이천시 모가면에 있는 골프장으로 대중제 18홀이다. 회원제로 개장을 했다가 2016년 대중제로 전환하여 재개장했다. 총 부지 약 980,,000㎡에 전장 6,607m에 18홀 파 72이다. Lake 코스와 Mountain 코스가 있다. 미국 100대 골프 코스 설계자인 짐 파지오가 아마추어에게는 쉽고 프로골퍼에게는 어렵게 설계했다고 한다. 가까이에 뉴스프링빌CC, 써닝포인트CC, 비에이비스타CC, 덕평CC 등의 골프장이 있다.",레포츠,육상 레포츠,골프
TRAIN_00002,./image/train/TRAIN_00002.jpg,금오산성숯불갈비는 한우고기만을 전문적으로 취급하고 사용하는 부식 자재 또한 유기농법으로 재배한 청정야채만을 취급하고 있다고 한다. 음식을 담은 그릇도 모두 전통 놋그릇으로 통일하였고 수저 또한 깨끗하고 예쁜 수젓집에 넣어서 나오는 등 작은 곳에서부터 정성을 다하는 모습을 느낄 수 있다.,음식,음식점,한식
TRAIN_00003,./image/train/TRAIN_00003.jpg,철판 위에서 요리하는 안동찜닭을 맛볼 수 있는 곳이다. 경상북도 안동시에 있는 한식 전문점이다. 대표메뉴는 안동찜닭이다.,음식,음식점,한식
TRAIN_00004,./image/train/TRAIN_00004.jpg,"※ 영업시간 10:30 ~ 20:30

3대에 걸쳐 아귀만을 전문으로 취급하는 전통과 역사를 자랑하는 음식점이다.",음식,음식점,한식
TRAIN_00005,./image/train/TRAIN_00005.jpg,"알파카월드는 우리나라 유일의 알파카 전문 동물원으로 홍천에 있다.  363,600㎡ (11만 평)에 이르는 숲 속에 자연 그대로의 모습으로 살아가는 동물들을 만날 수 있는 우리나라 최대 규모의 숲 속 동물나라이기도 하다. 이곳에서 직접 운영하는 글램핑장이 동물원 아래  있는 알파카스테이다. 글램핑장은 알파카밸리라 이름 붙여진 안내 공간 뒤쪽 계곡 옆에 자리 잡고 있다. 알파카밸리 안내소에는 반려견 호텔과 작은 카페도 있다. 이곳 글램핑장은 연꽃을 형상화하여 만든 돔형으로, 건축물과 같은 튼튼한 철골조로 만들어져 태풍이나 폭설, 폭우에도 안전하게 캠핑을 즐길 수 있다.",레포츠,육상 레포츠,"야영장,오토캠핑장"
TRAIN_00006,./image/train/TRAIN_00006.jpg,"진북 편백골 관광농원 캠핑장은 글램핑과 야영장이 함께 운영되는 캠핑장이다. 캠핑장 옆으로 계곡물이 흐르고 캠핑장 한쪽엔 트램펄린이 2군데로 나눠져 있어 어린이들은 기다리지 않고 마음껏 뛰어놀 수 있다. 화장실과 개수대는 잘 관리돼 있고 연박이나 장박의 경우 텐트를 보관하고 갈 수 있도록 배려해 주고 있다. 미니농장엔 토끼, 염소들이 있어 어린이들은 먹이주기와 같은 자연학습 체험을 할 수 있고 수영장이나 계곡을 이용 물놀이도 가능하다 물레방아. 청둥오리, 미니 포도농장 등 동반한 어린이들에게 여러 가지로 흥미 있는 요소들이 많은 캠핑장이다.",레포츠,육상 레포츠,"야영장,오토캠핑장"
TRAIN_00007,./image/train/TRAIN_00007.jpg,"죽도는 보령시 남포면에서 서남쪽으로 8.1㎞, 최치원 유적지가 있는 보리섬 서쪽 1.5㎞ 지점에 있는 섬이다. 옛날 대나무가 울창하였던 섬이라 하여 대섬 또는 죽도라 부르게 되었다. 지금은 죽도관광지로 불리는데, 상화원이라는 한국식 휴양 정원이 자리 잡고 있다. 약 20년간 대규모 상업적 개발을 멀리하며 아름다운 자연을 훼손하지 않고 나무 한 그루, 돌 한 조각까지 소중히 여기는 마음으로 상화원이 조성되었다. 상화원에는 점차 사라져가는 우리 전통 한옥을 충실하게 이건·복원한 한옥마을, 죽림과 해송 숲에 둘러싸인 빌라 단지, 섬 전체를 빙 둘러가며 연결된 회랑과 석양 정원 등이 어우러져 한국적 미를 발산하고 있다.",자연,자연관광지,섬
TRAIN_00008,./image/train/TRAIN_00008.jpg,"신촌댁 설렁탕은 15년간의 운영과 축척된 경험을 바탕으로 최고의 맛, 언제나 같은 양질의 완제품을 생산할 수 있는 신기술, 압력탱크 추출방식 자동화 설비를 갖추어 대량 생산 시스템을 구축하였다.",음식,음식점,한식
TRAIN_00009,./image/train/TRAIN_00009.jpg,"2020년 한국소비자 평가 최고의 브랜드 대상을 수상한 대한민국 명품쌀 문막농협 원주쌀 토토미와 청정지역 강원도의 대표 먹거리 옥수수를 직거래 및 온라인 행사를 통해 홍보하고 판매하여 농가에 도움을 주는 지역의 대표 축제이다.<br>축제기간은 7.8~7.10까지 3일간이다. (매년 날짜는 조금씩 차이가 있다.)<br>온라인 할인 행사기간은 7월1일 ~ 7월 29일까지 약 한달간이며, 전국 택배서비스를 실시한다.<br>농민들의 정성이 담긴 다양한 농산물들을 직접 만날수 있는 장터이다.<br>(품목안내 : 옥수수, 토토미, 논마늘, 수박, 토마토, 감자, 고구마, 부추 등 농산물)",인문(문화/예술/역사),축제,일반축제
